global_step,mean_reward,mean_entropy,episode_count,total_steps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,rollout,lr
2048,1310.0752654397834,5.675754070281982,4,4096,-0.01706371402833611,370.6471368789673,-5.674251954257488,0.0054250328852425865,0.0677490234375,0,0.0001
4096,1238.3311789773043,5.666239261627197,4,4096,-0.01282987572485581,293.03778169155123,-5.6643452905118465,0.004538875267780895,0.05078125,1,9.959016393442624e-05
6144,1436.3540956036384,5.658996105194092,4,4096,-0.016767950853682122,343.3254981994629,-5.665479737520218,0.006754804280535609,0.0874267578125,2,9.918032786885247e-05
8192,1426.015739273119,5.667899131774902,4,4096,-0.014832779820426367,386.09885969161985,-5.65861721932888,0.006264053245649848,0.077490234375,3,9.87704918032787e-05
10240,1218.6183259766824,5.6406097412109375,4,4096,-0.012696951435646042,285.20121626853944,-5.638945177197456,0.006158873335516546,0.074365234375,4,9.836065573770493e-05
12288,1362.3537186278272,5.6314592361450195,4,4096,-0.011450383768533356,332.6396363735199,-5.637260845303535,0.007323597383219749,0.096923828125,5,9.795081967213115e-05
14336,1508.2487763161823,5.635653495788574,4,4096,-0.011904424257954816,358.29046802520753,-5.638750407844782,0.007770537039505143,0.103759765625,6,9.754098360655737e-05
16384,1466.2382322437809,5.632463455200195,4,4096,-0.010166938815382309,331.6658863067627,-5.640523911267519,0.00897142212415929,0.1247802734375,7,9.713114754098361e-05
18432,1502.3500446255532,5.640449047088623,4,4096,-0.005223648821265669,318.0268234014511,-5.653595104813576,0.008751468424816267,0.120361328125,8,9.672131147540983e-05
20480,1232.3881443970135,5.663651943206787,4,4096,-0.0035027575024287215,251.50294411182404,-5.677174375206232,0.007724909582248074,0.1003173828125,9,9.631147540983607e-05
22528,1215.194940213937,5.689654350280762,5,4096,-0.0025785502781218383,297.77717072963713,-5.706750797480344,0.007752812769831507,0.1027587890625,10,9.59016393442623e-05
24576,1339.4324201178993,5.720763206481934,4,4096,-0.0004331279036705382,265.99733715057374,-5.734836030751467,0.007677402551780688,0.098681640625,11,9.549180327868853e-05
26624,1332.7000468351503,5.7457170486450195,4,4096,-0.0016150212606589776,241.36780309677124,-5.750555089116096,0.008179164178000065,0.110498046875,12,9.508196721311476e-05
28672,957.8409805372087,5.751262664794922,5,4096,-0.0012089952229871414,183.94668560028077,-5.766820815205574,0.008217811772192362,0.11201171875,13,9.467213114754099e-05
30720,1202.2816210327214,5.780701637268066,4,4096,-0.001639865139441099,228.96381344795228,-5.7918471463024614,0.006810715335450368,0.08212890625,14,9.426229508196722e-05
32768,854.160953016639,5.801346302032471,5,4096,-0.0015191193975624627,171.08708211183549,-5.817378877103328,0.007314816861253348,0.09365234375,15,9.385245901639344e-05
34816,1314.3548826179601,5.830384254455566,4,4096,0.0029980705032357944,198.734078001976,-5.851020036637783,0.008568361046127394,0.1179443359375,16,9.344262295081968e-05
36864,1331.909895128857,5.868269920349121,4,4096,0.0006738837197190151,228.40229353904724,-5.87570196390152,0.007936588366283104,0.1062744140625,17,9.30327868852459e-05
38912,1150.4309757973958,5.880922794342041,4,4096,0.00019403314217925072,191.30169456005098,-5.894654941558838,0.007090855126807583,0.0893798828125,18,9.262295081967214e-05
40960,1155.3993519270068,5.908548831939697,4,4096,0.0012020272712106816,164.5872318983078,-5.930617673695087,0.00832287147277384,0.112060546875,19,9.221311475409836e-05
43008,794.0933596644405,5.95115327835083,4,4096,-0.0020644022471969945,146.19522379636766,-5.959897375851869,0.008023680316182436,0.104296875,20,9.18032786885246e-05
45056,1152.8515419418914,5.964395046234131,4,4096,-0.0033713970401649954,178.492425801993,-5.9698087405458935,0.009825474957760177,0.13672830073349634,21,9.139344262295082e-05
47104,857.1507704300477,5.967830657958984,4,4096,-0.007714290632819286,150.48584046026673,-5.968498003603232,0.010185949871260109,0.13415404040404041,22,9.098360655737706e-05
49152,935.2870459433093,5.967766761779785,4,4096,-0.004877849932639829,142.84892236032795,-5.967222882855323,0.008546613092954842,0.10660282258064516,23,9.05737704918033e-05
51200,702.5950375023915,5.966445446014404,4,4096,-0.008584897539445331,130.22896532331194,-5.965684972490583,0.010473015305719206,0.13660714285714284,24,9.016393442622952e-05
53248,733.8750956301092,5.964903831481934,4,4096,-0.008669070856169213,118.63698364967523,-5.9640359102293505,0.012122517873987902,0.14970930232558138,25,8.975409836065574e-05
55296,735.4043806338208,5.962706565856934,4,4096,-0.006418003026267578,110.56548098860115,-5.961942705614813,0.011555499124244369,0.14493534482758622,26,8.934426229508197e-05
57344,808.9647937220514,5.961004257202148,4,4096,-0.003624647855758667,97.4927749633789,-5.95990701675415,0.013692958317697047,0.18,27,8.89344262295082e-05
59392,636.6856282602918,5.958510875701904,5,4096,-0.010834044218063355,95.78957926432291,-5.957323964436849,0.014616338536143303,0.19583333333333333,28,8.852459016393443e-05
61440,695.4122736904983,5.955744743347168,5,4096,-0.0018381638219580054,108.78064107894897,-5.954562127590179,0.014901079062838107,0.2021484375,29,8.811475409836066e-05
63488,633.0138376161934,5.95339298248291,5,4096,0.013752672200401625,108.2212643093533,-5.952801280551487,0.01692131306562159,0.24131944444444445,30,8.770491803278689e-05
65536,691.0405088129562,5.951999664306641,5,4096,0.07571595162153244,116.9966049194336,-5.951999664306641,0.028311707079410553,0.234375,31,8.729508196721312e-05
67584,636.7171862404891,5.951842308044434,5,4096,0.004014415835792368,102.51630956476384,-5.951059168035334,0.016339895061471245,0.2372159090909091,32,8.688524590163935e-05
69632,528.4215265025539,5.950021743774414,5,4096,0.0286240354180336,110.38021850585938,-5.950021743774414,0.025461092591285706,0.265625,33,8.647540983606559e-05
71680,640.4044958041226,5.9498372077941895,5,4096,0.052117448300123215,98.33432006835938,-5.9498372077941895,0.02875876985490322,0.328125,34,8.606557377049181e-05
73728,741.4478986711783,5.949647903442383,5,4096,0.028953976929187775,110.18138122558594,-5.949647903442383,0.035214900970458984,0.375,35,8.565573770491803e-05
75776,641.9427714952099,5.9494781494140625,5,4096,0.028748256464799244,108.33470916748047,-5.949294408162435,0.020186524217327435,0.2552083333333333,36,8.524590163934427e-05
77824,644.963678076411,5.948920726776123,5,4096,0.03381982445716858,102.36601257324219,-5.948920726776123,0.02843494340777397,0.359375,37,8.483606557377049e-05
79872,664.75115171742,5.9487152099609375,5,4096,0.02351769929130872,100.28462982177734,-5.948514461517334,0.021457526211937267,0.2760416666666667,38,8.442622950819672e-05
81920,667.5318205016891,5.948100566864014,5,4096,0.041999220848083496,73.67161560058594,-5.948100566864014,0.025258133187890053,0.359375,39,8.401639344262295e-05
83968,592.1376867014677,5.947868824005127,6,4096,0.0674377828836441,99.05548095703125,-5.947868824005127,0.03551053628325462,0.328125,40,8.360655737704919e-05
86016,614.17029874467,5.947638988494873,5,4096,0.011518329381942749,93.38934326171875,-5.947285294532776,0.019547330681234598,0.25390625,41,8.319672131147541e-05
88064,682.9160144249715,5.946708679199219,5,4096,0.023125764603416126,92.87933603922527,-5.946478366851807,0.021994026998678844,0.2552083333333333,42,8.278688524590165e-05
90112,584.9878153508533,5.946024417877197,6,4096,0.0007914504302399499,129.48601531982422,-5.945446695600237,0.01982123591005802,0.265625,43,8.237704918032787e-05
92160,643.0898392573705,5.944721221923828,5,4096,0.06311019510030746,131.22808837890625,-5.944721221923828,0.03603677079081535,0.359375,44,8.19672131147541e-05
94208,606.4446427403129,5.944525241851807,5,4096,0.04320523142814636,81.73860168457031,-5.944525241851807,0.026279855519533157,0.328125,45,8.155737704918032e-05
96256,692.7123700279495,5.944346904754639,5,4096,0.04788471758365631,87.24459838867188,-5.944346904754639,0.04153177887201309,0.265625,46,8.114754098360656e-05
98304,723.1283588471163,5.944164276123047,5,4096,0.02460160106420517,73.73661804199219,-5.944164276123047,0.0268710944801569,0.359375,47,8.073770491803278e-05
100352,708.7018533109178,5.943974018096924,5,4096,0.04723872244358063,133.58673095703125,-5.943974018096924,0.02635909989476204,0.28125,48,8.032786885245902e-05
102400,634.3348262607535,5.943785667419434,5,4096,0.008776139467954636,110.46784973144531,-5.943785667419434,0.024460572749376297,0.328125,49,7.991803278688526e-05
104448,661.6290185750242,5.943595886230469,5,4096,0.028114408254623413,80.99608612060547,-5.943595886230469,0.028663652017712593,0.28125,50,7.950819672131148e-05
106496,648.9824772126569,5.94342041015625,5,4096,0.059802547097206116,108.53923034667969,-5.94342041015625,0.03232991695404053,0.28125,51,7.90983606557377e-05
108544,610.4670838113605,5.943238258361816,5,4096,0.027486499398946762,89.93659973144531,-5.943238258361816,0.027217164635658264,0.375,52,7.868852459016394e-05
110592,601.07594577588,5.943037986755371,5,4096,0.003802906721830368,62.696292877197266,-5.943037986755371,0.032218676060438156,0.296875,53,7.827868852459018e-05
112640,670.8793097770825,5.942831039428711,5,4096,0.0178721621632576,87.91738510131836,-5.942724704742432,0.025570688769221306,0.296875,54,7.78688524590164e-05
114688,562.5616264477012,5.942386627197266,6,4096,0.005879119038581848,79.20008850097656,-5.942386627197266,0.03389034792780876,0.390625,55,7.745901639344263e-05
116736,636.8767061475928,5.942154884338379,6,4096,0.011910773813724518,110.25774383544922,-5.942154884338379,0.028407715260982513,0.359375,56,7.704918032786885e-05
118784,573.5402980320886,5.941931247711182,5,4096,0.07499021291732788,85.33621215820312,-5.941931247711182,0.028683045879006386,0.25,57,7.663934426229509e-05
120832,603.9506268050292,5.9417009353637695,6,4096,0.06417390704154968,95.69602966308594,-5.9417009353637695,0.03560955822467804,0.296875,58,7.622950819672132e-05
122880,660.1648575726348,5.941472053527832,5,4096,0.05675043165683746,127.88504791259766,-5.941472053527832,0.0411011204123497,0.296875,59,7.581967213114755e-05
124928,570.6593293155147,5.941253185272217,6,4096,0.10963251441717148,117.28214263916016,-5.941253185272217,0.05180046707391739,0.328125,60,7.540983606557377e-05
126976,617.2214273555139,5.9410319328308105,6,4096,0.015658676624298096,82.61453247070312,-5.9410319328308105,0.033003635704517365,0.3125,61,7.500000000000001e-05
